name,mileage,stars,reviews,price,dealer_name
2019 BMW 540 i xDrive,"26,883 mi.",4.5,341 ,"$46,980",BMW of Atlantic City
2007 BMW 335 i,"64,451 mi.",3.8,75 ,"$13,990",Carmel Motors
2018 BMW 530 i,"28,074 mi.",4.8,"1,197 ","$41,355",Richmond BMW
2019 BMW X5 xDrive40i,"17,891 mi.",4.9,115 ,"$58,993",Mercedes-Benz of Music City
2019 BMW M550 i xDrive,"17,830 mi.",4.4,726 ,"$64,889",BMW of Alexandria
2019 BMW M4 Base,"25,301 mi.",4.8,295 ,"$66,991",Bob Smith BMW
2014 BMW 428 i xDrive,"52,402 mi.",4.7,79 ,"$27,950",Beverly Hills Auto Group
2016 BMW 535 i xDrive,"63,864 mi.",4.8,884 ,"$27,322",Audi Wilmington
2018 BMW i3 94 Ah w/Range Extender,"9,991 mi.",4.6,120 ,"$31,495",Landmark Motors
2018 BMW X1 sDrive28i,"19,185 mi.",4.9,762 ,"$29,599",Florida Fine Cars Margate
2018 BMW X1 xDrive28i,"13,583 mi.",4.4,584 ,"$36,488",Perillo BMW
2018 BMW X5 sDrive35i,"50,523 mi.",4.7,584 ,"$44,390",Earth Motorcars
2018 BMW 320 i,"23,902 mi.",4.7,601 ,"$27,977",BMW of Tampa
2018 BMW X5 sDrive35i,"30,153 mi.",4.8,"2,925 ","$44,899",Florida Fine Cars Miami
2018 BMW 540 i,"18,173 mi.",4.5,97 ,"$48,951",Passport Motors
2013 BMW M3 Base,"35,836 mi.",4.7,437 ,"$36,500",Hopper Motorplex
2019 BMW X5 xDrive40i,"34,802 mi.",4.7,803 ,"$61,577",Tulley Automotive Group
2009 BMW 335 i xDrive,"84,397 mi.",3.8,44 ,"$8,499",Prestige Imports Auto Sales
2019 BMW 330 i,"18,580 mi.",4.7,768 ,"$37,988",BMW of Gwinnett Place
2018 BMW X1 sDrive28i,"48,358 mi.",4.9,"20,592 ","$28,749",Off Lease Only Miami
2012 BMW Z4 sDrive28i,"41,425 mi.",4.7,601 ,"$23,977",BMW of Tampa
2010 BMW 128 i,"133,262 mi.",3.7,152 ,"$9,495",WBM of Arlington
2017 BMW X3 sDrive28i,"58,736 mi.",3.6,852 ,"$25,888",Peoria Ford
2018 BMW X5 xDrive35i,"40,055 mi.",4.7,248 ,"$46,450",Luxury Motor Club
2021 BMW X7 xDrive40i,"13,737 mi.",4.7,706 ,"$82,550",BMW of Warwick
2018 BMW X2 sDrive28i,"26,195 mi.",4.5,614 ,"$31,995",United BMW
2019 BMW 750 i xDrive,"23,976 mi.",4.8,76 ,Not Priced,"LuxSport Motor Group, LLC."
2019 BMW X3 xDrive30i,"12,239 mi.",4.2,13 ,"$42,995",Patrick Mini
2019 BMW 430 Gran Coupe i xDrive,"57,682 mi.",4.8,791 ,"$32,587",INFINITI of Orland Park A Zeigler Auto Group Company
2018 BMW X3 xDrive30i,"16,486 mi.",4.5,73 ,"$42,970",BMW of Mt. Laurel
2019 BMW X5 xDrive40i,"33,258 mi.",4.9,"3,333 ","$57,999",Fair Oaks Ford Lincoln
2019 BMW X5 xDrive50i,"12,298 mi.",4.3,33 ,"$76,892",Global Motorsports Inc
2016 BMW 535 i xDrive,"56,183 mi.",3.9,432 ,"$27,698",Rosenthal Fairfax Honda
2019 BMW X5 xDrive40i,"14,934 mi.",4.5,431 ,"$61,998",BMW of Nashville
2019 BMW X3 M40i,"15,359 mi.",4.6,486 ,"$53,999",Beverly Hills BMW
2014 BMW 328 i xDrive,"84,245 mi.",4.6,"1,672 ","$20,465",Brunswick Auto Mart
2019 BMW 540 i xDrive,"19,545 mi.",4.3,74 ,"$48,987",BMW of Bloomfield
2018 BMW X2 sDrive28i,"27,423 mi.",4.5,614 ,"$29,995",United BMW
2014 BMW X3 xDrive28i,"81,140 mi.",4.7,56 ,"$19,430",Select Auto of Charlotte
2019 BMW X7 xDrive50i,"64,978 mi.",4.8,268 ,"$79,641",Infiniti of Clearwater
2019 BMW X4 M40i,"16,386 mi.",4.9,"1,014 ","$59,999",Select Auto Imports
2019 BMW 540 i,"20,501 mi.",4.8,295 ,"$50,999",BMW Fresno
2018 BMW X3 xDrive30i,"18,176 mi.",4.2,13 ,"$42,000",Patrick Mini
2019 BMW X3 M40i,"17,810 mi.",4.4,77 ,"$56,788",BMW of Loveland
2021 BMW X2 xDrive28i,"9,636 mi.",4.9,"2,686 ","$38,577",Bill Jacobs BMW
2018 BMW 340 i,"30,275 mi.",4.7,"1,178 ","$46,995",BMW West Palm Beach
2018 BMW X2 xDrive28i,"51,966 mi.",4.9,"1,882 ","$31,995",Foley Motorsports
2018 BMW 340 i xDrive,"22,161 mi.",4.1,110 ,"$44,990",D & C Motor Company
2019 BMW M240 i xDrive,"27,535 mi.",4.8,"1,931 ","$49,995",Knauz Auto Park
2013 BMW X5 xDrive35i,"49,250 mi.",2.1,8 ,"$22,995",Century Automotive
2017 BMW X6 M Base,"47,461 mi.",4.6,"3,233 ","$59,532","Rothrock Nissan, Chrysler, Dodge, Jeep, RAM"
2018 BMW X1 sDrive28i,"19,157 mi.",4.5,295 ,"$32,995",BMW of Honolulu
2019 BMW X6 xDrive35i,"29,323 mi.",4.5,97 ,"$64,751",Passport Motors
2018 BMW M550 i xDrive,"62,130 mi.",4.8,"1,225 ","$47,250","Napleton Hyundai, Genesis of Hazelwood"
2017 BMW 340 i xDrive,"54,328 mi.",3.6,387 ,"$32,500",Certified Luxury Motors
